PropertyMedianID,StateCode,City,Suburb,Median,UpdatedYear,UpdatedMonth,Postcode,Quater,District,No of Sales
3669,VIC,,Chelsea Heights,720000,2017,3,,Q1,,
3672,VIC,,Cheltenham,1130000,2017,3,,Q1,,
3675,VIC,,Cheltenham East,1012000,2017,3,,Q1,,
3678,VIC,,Cheltenham North,1045000,2017,3,,Q1,,
3681,VIC,,Chiltern,246000,2017,3,,Q1,,
3684,VIC,,Chirnside Park,685300,2017,3,,Q1,,
3687,VIC,,Churchill,169500,2017,3,,Q1,,
3690,VIC,,Clarinda,796500,2017,3,,Q1,,
3693,VIC,,Clayton,1350000,2017,3,,Q1,,
3696,VIC,,Clayton North,1235500,2017,3,,Q1,,
3699,VIC,,Clayton South,771000,2017,3,,Q1,,
3702,VIC,,Clifton Hill,1240000,2017,3,,Q1,,
3705,VIC,,Clifton Springs,395000,2017,3,,Q1,,
3708,VIC,,Clunes,272000,2017,3,,Q1,,
3711,VIC,,Clyde,452000,2017,3,,Q1,,
3714,VIC,,Clyde North,374100,2017,3,,Q1,,
3717,VIC,,Cobden,310500,2017,3,,Q1,,
3720,VIC,,Cobram,260000,2017,3,,Q1,,
3723,VIC,,Coburg,942800,2017,3,,Q1,,
3726,VIC,,Coburg East,782000,2017,3,,Q1,,
3729,VIC,,Coburg North,771000,2017,3,,Q1,,
3732,VIC,,Cockatoo,435000,2017,3,,Q1,,
3735,VIC,,Cohuna,164000,2017,3,,Q1,,
3738,VIC,,Colac,259600,2017,3,,Q1,,
3741,VIC,,Coldstream,568000,2017,3,,Q1,,
3744,VIC,,Coleraine,105000,2017,3,,Q1,,
3747,VIC,,Collingwood,1427500,2017,3,,Q1,,
3750,VIC,,Connewarre,962500,2017,3,,Q1,,
3753,VIC,,Coolaroo,367000,2017,3,,Q1,,
3756,VIC,,Coonans Hill,897500,2017,3,,Q1,,
3759,VIC,,Corinella,390000,2017,3,,Q1,,
3762,VIC,,Corio,270000,2017,3,,Q1,,
3765,VIC,,Coronet Bay,300000,2017,3,,Q1,,
3768,VIC,,Corryong,183800,2017,3,,Q1,,
3771,VIC,,Cowes,425000,2017,3,,Q1,,
3774,VIC,,Cowes West,379300,2017,3,,Q1,,
3777,VIC,,Craigieburn,470000,2017,3,,Q1,,
3780,VIC,,Cranbourne,465000,2017,3,,Q1,,
3783,VIC,,Cranbourne East,499500,2017,3,,Q1,,
3786,VIC,,Cranbourne North,500000,2017,3,,Q1,,
3789,VIC,,Cranbourne West,475000,2017,3,,Q1,,
3792,VIC,,Cremorne,2141000,2017,3,,Q1,,
3795,VIC,,Creswick,310000,2017,3,,Q1,,
3798,VIC,,Crib Point,465000,2017,3,,Q1,,
3801,VIC,,Croydon,726000,2017,3,,Q1,,
3804,VIC,,Croydon Hills,815000,2017,3,,Q1,,
3807,VIC,,Croydon North,806000,2017,3,,Q1,,
3810,VIC,,Croydon South,757500,2017,3,,Q1,,
3813,VIC,,Curlewis,410000,2017,3,,Q1,,
3816,VIC,,Dallas,379500,2017,3,,Q1,,
3819,VIC,,Dalyston,275000,2017,3,,Q1,,
3822,VIC,,Dandenong,565000,2017,3,,Q1,,
3825,VIC,,Dandenong North,587800,2017,3,,Q1,,
3828,VIC,,Darley,415500,2017,3,,Q1,,
3831,VIC,,Darnum,308000,2017,3,,Q1,,
3834,VIC,,Daylesford,447500,2017,3,,Q1,,
3837,VIC,,Deepdene,4125000,2017,3,,Q1,,
3840,VIC,,Deer Park,483600,2017,3,,Q1,,
3843,VIC,,Delacombe,315000,2017,3,,Q1,,
3846,VIC,,Delahey,508300,2017,3,,Q1,,
3849,VIC,,Dennington,340000,2017,3,,Q1,,
3852,VIC,,Derrimut,608500,2017,3,,Q1,,
3855,VIC,,Diamond Creek,720000,2017,3,,Q1,,
3858,VIC,,Diggers Rest,425000,2017,3,,Q1,,
3861,VIC,,Dimboola,130000,2017,3,,Q1,,
3864,VIC,,Dingley Village,882000,2017,3,,Q1,,
3867,VIC,,Dinner Plain,380000,2017,3,,Q1,,
3870,VIC,,Don Valley,540000,2017,3,,Q1,,
3873,VIC,,Donald,151000,2017,3,,Q1,,
3876,VIC,,Doncaster,1366500,2017,3,,Q1,,
3879,VIC,,Doncaster East,1223000,2017,3,,Q1,,
3882,VIC,,Donvale,1115000,2017,3,,Q1,,
3885,VIC,,Doreen,512000,2017,3,,Q1,,
3888,VIC,,Doveton,450000,2017,3,,Q1,,
3891,VIC,,Dromana,675000,2017,3,,Q1,,
3894,VIC,,Drouin,365000,2017,3,,Q1,,
3897,VIC,,Drysdale,446300,2017,3,,Q1,,
3900,VIC,,Dunolly,200000,2017,3,,Q1,,
3903,VIC,,Eagle Point,247500,2017,3,,Q1,,
3906,VIC,,Eaglehawk,295000,2017,3,,Q1,,
3909,VIC,,Eaglemont,2278000,2017,3,,Q1,,
3912,VIC,,East Bairnsdale,211000,2017,3,,Q1,,
3915,VIC,,East Bendigo,312500,2017,3,,Q1,,
3918,VIC,,East Geelong,572500,2017,3,,Q1,,
3921,VIC,,East Melbourne,3888000,2017,3,,Q1,,
3924,VIC,,East Warburton,360000,2017,3,,Q1,,
3927,VIC,,Eastwood,390000,2017,3,,Q1,,
3930,VIC,,Echuca,330000,2017,3,,Q1,,
3933,VIC,,Edenhope,172500,2017,3,,Q1,,
3936,VIC,,Edithvale,1027000,2017,3,,Q1,,
3939,VIC,,Eildon,220000,2017,3,,Q1,,
3942,VIC,,Elliminyt,365000,2017,3,,Q1,,
3945,VIC,,Elmore,140000,2017,3,,Q1,,
3948,VIC,,Elsternwick,1950000,2017,3,,Q1,,
3951,VIC,,Eltham,890000,2017,3,,Q1,,
3954,VIC,,Eltham North,852000,2017,3,,Q1,,
3957,VIC,,Elwood,1750000,2017,3,,Q1,,
3960,VIC,,Emerald,618300,2017,3,,Q1,,
3963,VIC,,Endeavour Hills,607900,2017,3,,Q1,,
3966,VIC,,Epping,507800,2017,3,,Q1,,
3969,VIC,,Epsom,329500,2017,3,,Q1,,
3972,VIC,,Essendon,1470000,2017,3,,Q1,,
3975,VIC,,Essendon North,1420000,2017,3,,Q1,,
3978,VIC,,Essendon West,917500,2017,3,,Q1,,
3981,VIC,,Eumemmerring,502500,2017,3,,Q1,,
3984,VIC,,Eureka,264000,2017,3,,Q1,,
3987,VIC,,Euroa,225000,2017,3,,Q1,,
3990,VIC,,Eynesbury,425000,2017,3,,Q1,,
3993,VIC,,Fairfield,1645000,2017,3,,Q1,,
3996,VIC,,Fairhaven,875000,2017,3,,Q1,,
3999,VIC,,Fawkner,670500,2017,3,,Q1,,
4002,VIC,,Ferntree Gully,710000,2017,3,,Q1,,
4005,VIC,,Ferny Creek,745000,2017,3,,Q1,,
4008,VIC,,Fingal,955300,2017,3,,Q1,,
4011,VIC,,Fitzroy,1870000,2017,3,,Q1,,
4014,VIC,,Fitzroy North,1410500,2017,3,,Q1,,
4017,VIC,,Fiveways,525000,2017,3,,Q1,,
4020,VIC,,Flemington,1097500,2017,3,,Q1,,
4023,VIC,,Flinders,1461000,2017,3,,Q1,,
4026,VIC,,Flora Hill,340000,2017,3,,Q1,,
4029,VIC,,Flowerdale,297000,2017,3,,Q1,,
4032,VIC,,Footscray,850000,2017,3,,Q1,,
4035,VIC,,Forest Hill,1052500,2017,3,,Q1,,
4038,VIC,,Foster,285000,2017,3,,Q1,,
4041,VIC,,Frankston,552500,2017,3,,Q1,,
4044,VIC,,Frankston North,422000,2017,3,,Q1,,
4047,VIC,,Frankston South,795500,2017,3,,Q1,,
4050,VIC,,Fraser Rise,530000,2017,3,,Q1,,
4053,VIC,,Fyansford,700000,2017,3,,Q1,,
4056,VIC,,Garden City,1915000,2017,3,,Q1,,
4059,VIC,,Garfield,360000,2017,3,,Q1,,
4062,VIC,,Geelong,760000,2017,3,,Q1,,
4065,VIC,,Geelong West,596000,2017,3,,Q1,,
4068,VIC,,Gembrook,555000,2017,3,,Q1,,
4071,VIC,,Gisborne,615000,2017,3,,Q1,,
4074,VIC,,Gladstone Park,618000,2017,3,,Q1,,
4077,VIC,,Glen Huntly,1415000,2017,3,,Q1,,
4080,VIC,,Glen Iris,1942500,2017,3,,Q1,,
4083,VIC,,Glen Waverley,1309400,2017,3,,Q1,,
4086,VIC,,Glengarry,271000,2017,3,,Q1,,
4089,VIC,,Glenrowan,252000,2017,3,,Q1,,
4092,VIC,,Glenroy,682500,2017,3,,Q1,,
4095,VIC,,Golden Beach,209000,2017,3,,Q1,,
4098,VIC,,Golden Point (Ballarat),262500,2017,3,,Q1,,
4101,VIC,,Golden Square,307000,2017,3,,Q1,,
4104,VIC,,Gordon,360000,2017,3,,Q1,,
4107,VIC,,Goughs Bay,255000,2017,3,,Q1,,
4110,VIC,,Gowanbrae,658000,2017,3,,Q1,,
4113,VIC,,Grantville,312300,2017,3,,Q1,,
4116,VIC,,Green Lake,247500,2017,3,,Q1,,
4119,VIC,,Greensborough,739500,2017,3,,Q1,,
4122,VIC,,Greenvale,505000,2017,3,,Q1,,
4125,VIC,,Grovedale,410500,2017,3,,Q1,,
4128,VIC,,Hadfield,695900,2017,3,,Q1,,
4131,VIC,,Hallam,540000,2017,3,,Q1,,
4134,VIC,,Halls Gap,295000,2017,3,,Q1,,
4137,VIC,,Hamilton,169500,2017,3,,Q1,,
4140,VIC,,Hamlyn Heights,452600,2017,3,,Q1,,
4143,VIC,,Hampton,1825000,2017,3,,Q1,,
4146,VIC,,Hampton East,1250000,2017,3,,Q1,,
4149,VIC,,Hampton Park,466000,2017,3,,Q1,,
4152,VIC,,Harcourt,365000,2017,3,,Q1,,
4155,VIC,,Harkness,375000,2017,3,,Q1,,
4158,VIC,,Hastings,505000,2017,3,,Q1,,
4161,VIC,,Hastings West,458800,2017,3,,Q1,,
4164,VIC,,Hawthorn,2410000,2017,3,,Q1,,
4167,VIC,,Hawthorn East,2626000,2017,3,,Q1,,
4170,VIC,,Healesville,485000,2017,3,,Q1,,
4173,VIC,,Heathcote,289000,2017,3,,Q1,,
4176,VIC,,Heatherton,914000,2017,3,,Q1,,
4179,VIC,,Heathmont,966000,2017,3,,Q1,,
4182,VIC,,Heidelberg,1192000,2017,3,,Q1,,
4185,VIC,,Heidelberg Heights,850500,2017,3,,Q1,,
4188,VIC,,Heidelberg West,735000,2017,3,,Q1,,
4191,VIC,,Hepburn,449000,2017,3,,Q1,,
4194,VIC,,Hepburn Springs,510000,2017,3,,Q1,,
4197,VIC,,Herne Hill,477500,2017,3,,Q1,,
4200,VIC,,Heyfield,172000,2017,3,,Q1,,
4203,VIC,,Heywood,150000,2017,3,,Q1,,
4206,VIC,,Highett,1250000,2017,3,,Q1,,
4209,VIC,,Highton,623500,2017,3,,Q1,,
4212,VIC,,Hillside (Melton),585000,2017,3,,Q1,,
4215,VIC,,Hoppers Crossing,471000,2017,3,,Q1,,
4218,VIC,,Horsham,271500,2017,3,,Q1,,
4221,VIC,,Hughesdale,1525000,2017,3,,Q1,,
4224,VIC,,Huntingdale,1020000,2017,3,,Q1,,
4227,VIC,,Huntly,365000,2017,3,,Q1,,
4230,VIC,,Hurstbridge,730000,2017,3,,Q1,,
4233,VIC,,Indented Head,375000,2017,3,,Q1,,
4236,VIC,,Inglewood,135000,2017,3,,Q1,,
4239,VIC,,Inverleigh,455300,2017,3,,Q1,,
4242,VIC,,Inverloch,466000,2017,3,,Q1,,
4245,VIC,,Invermay Park,357000,2017,3,,Q1,,
4248,VIC,,Ironbark,345000,2017,3,,Q1,,
4251,VIC,,Irymple,280000,2017,3,,Q1,,
4254,VIC,,Ivanhoe,1600000,2017,3,,Q1,,
4257,VIC,,Ivanhoe East,1801000,2017,3,,Q1,,
4260,VIC,,Jacana,551000,2017,3,,Q1,,
4263,VIC,,Jamieson,218000,2017,3,,Q1,,
4266,VIC,,Jan Juc,800000,2017,3,,Q1,,
4269,VIC,,Junction Village,432000,2017,3,,Q1,,
4272,VIC,,Junortoun,554500,2017,3,,Q1,,
4275,VIC,,Kalimna,360000,2017,3,,Q1,,
4278,VIC,,Kalkallo,395000,2017,3,,Q1,,
4281,VIC,,Kallista,622500,2017,3,,Q1,,
4284,VIC,,Kalorama,570000,2017,3,,Q1,,
4287,VIC,,Kangaroo Flat,301300,2017,3,,Q1,,
4290,VIC,,Kangaroo Ground South,777000,2017,3,,Q1,,
4293,VIC,,Kaniva,165000,2017,3,,Q1,,
4296,VIC,,Kealba,515000,2017,3,,Q1,,
4299,VIC,,Keilor,700000,2017,3,,Q1,,
4302,VIC,,Keilor Downs,645000,2017,3,,Q1,,
4305,VIC,,Keilor East,750000,2017,3,,Q1,,
4308,VIC,,Keilor Lodge,702500,2017,3,,Q1,,
4311,VIC,,Keilor Park,808300,2017,3,,Q1,,
4314,VIC,,Kennington,375000,2017,3,,Q1,,
4317,VIC,,Kensington,1045000,2017,3,,Q1,,
4320,VIC,,Kerang,154000,2017,3,,Q1,,
4323,VIC,,Kew,2300000,2017,3,,Q1,,
4326,VIC,,Kew East,1876000,2017,3,,Q1,,
4329,VIC,,Kew North,1910000,2017,3,,Q1,,
4332,VIC,,Keysborough,725500,2017,3,,Q1,,
4335,VIC,,Kialla,360000,2017,3,,Q1,,
4338,VIC,,Kilcunda,425000,2017,3,,Q1,,
4341,VIC,,Killara (Wodonga),410000,2017,3,,Q1,,
4344,VIC,,Kilmore,365000,2017,3,,Q1,,
4347,VIC,,Kilsyth,692500,2017,3,,Q1,,
4350,VIC,,Kilsyth South,768000,2017,3,,Q1,,
4353,VIC,,Kinglake,480000,2017,3,,Q1,,
4356,VIC,,Kinglake West,460000,2017,3,,Q1,,
4359,VIC,,Kings Park,495000,2017,3,,Q1,,
4362,VIC,,Kingsbury,643000,2017,3,,Q1,,
4365,VIC,,Kingsville,1085000,2017,3,,Q1,,
4368,VIC,,Knoxfield,813000,2017,3,,Q1,,
4371,VIC,,Koo Wee Rup,430000,2017,3,,Q1,,
4374,VIC,,Koondrook,240000,2017,3,,Q1,,
4377,VIC,,Koroit,277500,2017,3,,Q1,,
4380,VIC,,Korumburra,296000,2017,3,,Q1,,
4383,VIC,,Kurunjang,336800,2017,3,,Q1,,
4386,VIC,,Kyabram,212500,2017,3,,Q1,,
4389,VIC,,Kyneton,460000,2017,3,,Q1,,
4392,VIC,,Lake Boga,237500,2017,3,,Q1,,
4395,VIC,,Lake Gardens,387000,2017,3,,Q1,,
4398,VIC,,Lake Tyers Beach,327500,2017,3,,Q1,,
4401,VIC,,Lake Wendouree,883000,2017,3,,Q1,,
4404,VIC,,Lakes Entrance,280000,2017,3,,Q1,,
4407,VIC,,Lalor,560000,2017,3,,Q1,,
4410,VIC,,Lancefield,417500,2017,3,,Q1,,
4413,VIC,,Lang Lang,365000,2017,3,,Q1,,
4416,VIC,,Langwarrin,580000,2017,3,,Q1,,
4419,VIC,,Lara,425300,2017,3,,Q1,,
4422,VIC,,Lara Lake,450000,2017,3,,Q1,,
4425,VIC,,Launching Place,451800,2017,3,,Q1,,
4428,VIC,,Laverton,515000,2017,3,,Q1,,
4431,VIC,,Laverton South,591500,2017,3,,Q1,,
4434,VIC,,Leneva,372000,2017,3,,Q1,,
4437,VIC,,Leongatha,315500,2017,3,,Q1,,
4440,VIC,,Leopold,416000,2017,3,,Q1,,
4443,VIC,,Lilydale,695000,2017,3,,Q1,,
4446,VIC,,Lismore,148000,2017,3,,Q1,,
4449,VIC,,Loch Sport,168500,2017,3,,Q1,,
4452,VIC,,Long Gully,250000,2017,3,,Q1,,
4455,VIC,,Longwarry,356600,2017,3,,Q1,,
4458,VIC,,Lorne,1137500,2017,3,,Q1,,
4461,VIC,,Lovely Banks,525000,2017,3,,Q1,,
4464,VIC,,Lower Plenty,980000,2017,3,,Q1,,
4467,VIC,,Lucas,370000,2017,3,,Q1,,
4470,VIC,,Lucknow,187500,2017,3,,Q1,,
4473,VIC,,Lynbrook,575000,2017,3,,Q1,,
4476,VIC,,Lyndhurst,618500,2017,3,,Q1,,
4479,VIC,,Lysterfield,883800,2017,3,,Q1,,
4482,VIC,,Macedon,595000,2017,3,,Q1,,
4485,VIC,,Macleod,971000,2017,3,,Q1,,
4488,VIC,,Maddingley,362500,2017,3,,Q1,,
4491,VIC,,Maffra,257500,2017,3,,Q1,,
4494,VIC,,Maiden Gully,473000,2017,3,,Q1,,
4497,VIC,,Maidstone,740000,2017,3,,Q1,,
4500,VIC,,Maldon,315000,2017,3,,Q1,,
4503,VIC,,Mallacoota,307500,2017,3,,Q1,,
4506,VIC,,Malmsbury,370000,2017,3,,Q1,,
4509,VIC,,Malvern,2675000,2017,3,,Q1,,
4512,VIC,,Malvern East,1910000,2017,3,,Q1,,
4515,VIC,,Manifold Heights,642500,2017,3,,Q1,,
4518,VIC,,Manor Lakes,461500,2017,3,,Q1,,
4521,VIC,,Mansfield,407000,2017,3,,Q1,,
4524,VIC,,Maribyrnong,970400,2017,3,,Q1,,
4527,VIC,,Marong,347500,2017,3,,Q1,,
4530,VIC,,Marshall,412000,2017,3,,Q1,,
4533,VIC,,Maryborough,185500,2017,3,,Q1,,
4536,VIC,,Marysville,297000,2017,3,,Q1,,
4539,VIC,,Mccrae,780000,2017,3,,Q1,,
4542,VIC,,Mckenzie Hill,450000,2017,3,,Q1,,
4545,VIC,,Mckinnon,1501000,2017,3,,Q1,,
4548,VIC,,Meadow Heights,422000,2017,3,,Q1,,
4551,VIC,,Meeniyan,190000,2017,3,,Q1,,
4554,VIC,,Melton,325000,2017,3,,Q1,,
4557,VIC,,Melton South,310000,2017,3,,Q1,,
4560,VIC,,Melton West,332000,2017,3,,Q1,,
4563,VIC,,Mentone,900000,2017,3,,Q1,,
4566,VIC,,Menzies Creek,685000,2017,3,,Q1,,
4569,VIC,,Merbein,190000,2017,3,,Q1,,
4572,VIC,,Merinda Park,438000,2017,3,,Q1,,
4575,VIC,,Mernda,465000,2017,3,,Q1,,
4578,VIC,,Metung,345000,2017,3,,Q1,,
4581,VIC,,Mickleham,405000,2017,3,,Q1,,
4584,VIC,,Middle Park,2438000,2017,3,,Q1,,
4587,VIC,,Mildura,271300,2017,3,,Q1,,
4590,VIC,,Mill Park,627500,2017,3,,Q1,,
4593,VIC,,Millgrove,305300,2017,3,,Q1,,
4596,VIC,,Miners Rest,343000,2017,3,,Q1,,
4599,VIC,,Minyip,99300,2017,3,,Q1,,
4602,VIC,,Mirboo North,251300,2017,3,,Q1,,
4605,VIC,,Mitcham,1020000,2017,3,,Q1,,
4608,VIC,,Mitchell Park,265000,2017,3,,Q1,,
4611,VIC,,Moe,191300,2017,3,,Q1,,
4614,VIC,,Moggs Creek,728000,2017,3,,Q1,,
4617,VIC,,Monbulk,620000,2017,3,,Q1,,
4620,VIC,,Mont Albert,2100000,2017,3,,Q1,,
4623,VIC,,Mont Albert North,1570000,2017,3,,Q1,,
4626,VIC,,Montmorency,873500,2017,3,,Q1,,
4629,VIC,,Montrose,625000,2017,3,,Q1,,
4632,VIC,,Moonee Ponds,1310000,2017,3,,Q1,,
4635,VIC,,Moorabbin,1045000,2017,3,,Q1,,
4638,VIC,,Mooroolbark,704000,2017,3,,Q1,,
4641,VIC,,Mooroopna,202800,2017,3,,Q1,,
4644,VIC,,Mordialloc,942000,2017,3,,Q1,,
4647,VIC,,Mornington,825000,2017,3,,Q1,,
