SchoolCode,SchoolName,SchoolType,Suburb,StateCode,Postcode,Longitude,Latitude,SchoolAddress,SchoolID
"3919","Castle Cove Public School","Primary School","Castle Cove","NSW","2069",151.201973,-33.783375,"Kendall Rd",4577
"3922","Albury North Public School","Primary School","Albury","NSW","2640",146.932402,-36.064177,"868 Mate St",4579
"3923","Kapooka Public School","Primary School","Kapooka","NSW","2661",147.296973,-35.15153,"Sturt Ave",4581
"3924","East Hills Public School","Primary School","Panania","NSW","2213",150.991975,-33.957953,"Lucas Rd",4583
"3925","Curl Curl North Public School","Primary School","North Curl Curl","NSW","2099",151.289314,-33.764639,"Playfair Rd",4584
"3927","Belmont North Public School","Primary School","Belmont","NSW","2280",151.671344,-33.019974,"Nikkin & Darling Sts",4586
"3928","Cabramurra Public School","Primary School","Cabramurra","NSW","2630",148.379008,-35.931626,"Moolanda Place",4587
"3931","Seven Hills Public School","Primary School","Seven Hills","NSW","2147",150.937488,-33.770031,"2A Lucas Road",4589
"3932","Waratah West Public School","Primary School","Waratah West","NSW","2298",151.716258,-32.897979,"Leonora Pde",4590
"3935","Crown Street Public School","Primary School","Surry Hills","NSW","2010",151.21522,-33.882253,"356 Crown Street",4592
"3939","Mount Hutton Public School","Primary School","Mount Hutton","NSW","2290",151.66862,-32.977049,"12 Dunkley Pde",4595
"3943","Gordon West Public School","Primary School","Pymble","NSW","2073",151.139223,-33.760318,"146 Ryde Road",4599
"3944","Beverly Hills North Public School","Primary School","Beverly Hills","NSW","2209",151.074837,-33.940606,"Shorter Ave & King Georges Rd",4601
"3945","Finley Public School","Primary School","Finley","NSW","2713",145.574959,-35.639399,"Coree St",4603
"3946","Maclean Public School","Primary School","Maclean","NSW","2463",153.201309,-29.457217,"Woodford St",4604
"3947","Quirindi Public School","Primary School","Quirindi","NSW","2343",150.678035,-31.497558,"Munro St",4606
"3948","Tempe Public School","Primary School","Tempe","NSW","2044",151.160994,-33.920935,"Unwins Bridge Rd",4607
"3949","Maitland Public School","Primary School","Maitland","NSW","2320",151.553306,-32.73546,"70 Elgin Street",4608
"3950","Manly Village Public School","Primary School","Manly","NSW","2095",151.287627,-33.7994,"Darley Rd",4609
"3951","Marrickville West Public School","Primary School","Marrickville","NSW","2204",151.145073,-33.914468,"Livingstone Rd",4610
"3952","Marrickville Public School","Primary School","Marrickville","NSW","2204",151.162658,-33.906705,"Chapel St",4611
"3953","Waverley Public School","Primary School","Waverley","NSW","2024",151.251539,-33.898174,"Bronte Rd",4612
